ID,ID.side,Sex,Sex1,YEAR1,YEARLAST,ANIMAL_YRS,N
1832,1832-RIGHT,UNK,UNK,2001,2001,0,2
184,184-RIGHT,UNK,UNK,1989,1990,1,5
185,185-RIGHT,MaleM,UNK,1997,1997,0,4
186,186-RIGHT,MaleM,UNK,1989,1990,1,5
189,189-LEFT,UNK,UNK,1989,1989,0,3
1904,1904-RIGHT,UNK,UNK,2002,2016,14,13
1907,1907-LEFT,UNK,UNK,2002,2002,0,1
1914,1914-RIGHT,UNK,UNK,2002,2002,0,1
1917,1917-LEFT,UNK,UNK,2002,2002,0,2
1919,1919-RIGHT,UNK,UNK,2002,2002,0,1
1924,1924-LEFT,MaleM,UNK,2002,2002,0,1
1926,1926-RIGHT,UNK,UNK,2002,2002,0,2
1929,1929-LEFT,UNK,UNK,2002,2011,9,9
1930,1930-LEFT,UNK,UNK,2002,2002,0,4
1930,1930-RIGHT,UNK,UNK,2002,2002,0,4
1932,1932-RIGHT,UNK,UNK,2002,2002,0,2
1939,1939-RIGHT,UNK,UNK,2002,2002,0,2
1942,1942-LEFT,UNK,UNK,2002,2002,0,1
1942,1942-RIGHT,UNK,UNK,2002,2002,0,2
1943,1943-LEFT,UNK,UNK,2002,2002,0,2
1943,1943-RIGHT,UNK,UNK,2002,2002,0,2
1946,1946-LEFT,UNK,UNK,2002,2002,0,6
195,195-RIGHT,UNK,UNK,1989,1989,0,1
1951,1951-RIGHT,UNK,UNK,2002,2002,0,1
1956,1956-LEFT,UNK,UNK,2002,2002,0,1
1957,1957-LEFT,UNK,UNK,2002,2002,0,3
1959,1959-LEFT,UNK,UNK,2002,2002,0,2
1960,1960-RIGHT,UNK,UNK,2002,2002,0,1
1961,1961-RIGHT,UNK,UNK,2002,2002,0,2
1962,1962-LEFT,UNK,UNK,2002,2002,0,3
1964,1964-LEFT,UNK,UNK,2002,2002,0,2
1966,1966-LEFT,MaleM,Male,2002,2002,0,5
1967,1967-RIGHT,UNK,UNK,2002,2002,0,6
1968,1968-LEFT,UNK,UNK,2002,2002,0,2
197,197-LEFT,UNK,UNK,1989,1989,0,1
1970,1970-RIGHT,UNK,UNK,2002,2002,0,1
1971,1971-RIGHT,UNK,UNK,2002,2002,0,2
1972,1972-RIGHT,UNK,UNK,2002,2002,0,1
1978,1978-LEFT,FemaleJ,Female,2002,2002,0,3
1980,1980-LEFT,UNK,UNK,2002,2002,0,2
1981,1981-RIGHT,UNK,UNK,2002,2002,0,1
1982,1982-LEFT,UNK,UNK,2002,2002,0,1
1983,1983-RIGHT,UNK,UNK,2002,2002,0,1
1987,1987-LEFT,UNK,UNK,2002,2002,0,2
2,2-LEFT,UNK,UNK,1989,1989,0,2
2,2-RIGHT,UNK,UNK,1989,1989,0,3
2000,2000-RIGHT,UNK,UNK,2002,2002,0,4
2008,2008-LEFT,UNK,UNK,2002,2002,0,4
2010,2010-LEFT,UNK,UNK,2002,2002,0,3
2013,2013-RIGHT,MaleM,UNK,2002,2011,9,6
2014,2014-LEFT,UNK,UNK,2002,2002,0,3
2019,2019-LEFT,UNK,UNK,2002,2002,0,2
2019,2019-RIGHT,UNK,UNK,2002,2002,0,2
2020,2020-RIGHT,UNK,UNK,2002,2002,0,2
2021,2021-RIGHT,UNK,UNK,2002,2002,0,1
