"ID","side","Sex","Year_rel","count"
"4104","Left","MaleM",2007,4
"4104","Right","MaleM",2007,34
"4107","Right","UNK",2007,1
"4108","Right","UNK",NA,1
"4111","Left","UNK",NA,11
"4111","Right","UNK",NA,5
"4113","Left","UNK",2015,195
"4114","Left","UNK",NA,44
"4116","Right","UNK",NA,2
"4117","Right","UNK",NA,35
"4118","Right","UNK",NA,16
"4119","Left","UNK",NA,1
"4120","Right","UNK",NA,2
"413","Left","MaleM",1990,54
"413","Right","MaleM",1990,43
"418","Left","UNK",NA,14
"418","Right","UNK",NA,12
"42","Right","UNK",NA,1
"420","Right","UNK",NA,13
"4200","Left","UNK",NA,1
"4201","Left","UNK",NA,1
"4203","Right","UNK",2008,90
"4206","Left","UNK",NA,33
"4207","Left","UNK",NA,2
"4208","Right","UNK",2008,1
"425","Left","UNK",NA,7
"427","Right","UNK",NA,20
"43","Left","UNK",1988,6
"43","Right","UNK",1988,1
"432","Left","UNK",1990,21
"433","Right","UNK",1990,19
"435","Right","UNK",NA,14
"436","Left","UNK",NA,3
"436","Right","UNK",NA,4
"437","Left","UNK",NA,4
"440","Left","UNK",1990,12
"440","Right","UNK",1990,8
"448","Left","UNK",NA,1
"449","Left","UNK",NA,8
"45","Left","MaleM",1989,340
"45","Right","MaleM",1989,360
"450","Left","UNK",NA,2
"4513","Left","FemaleJ",2009,86
"4513","Right","FemaleJ",2009,58
"4514","Left","UNK",NA,29
"452","Left","MaleM",NA,2
"453","Left","UNK",NA,1
"46","Right","UNK",NA,9
"461","Left","UNK",1990,2
"461","Right","UNK",1990,10
"462","Right","UNK",NA,4
"464","Right","UNK",NA,4
"465","Left","UNK",NA,4
"466","Left","UNK",NA,17
"466","Right","UNK",NA,4
"467","Left","UNK",NA,1
"468","Right","UNK",NA,2
"47","Left","UNK",1989,8
"47","Right","UNK",1989,19
"470","Right","UNK",NA,1
"473","Left","UNK",NA,3
"477","Left","UNK",NA,4
"478","Right","UNK",NA,2
"479","Right","UNK",NA,3
"480","Left","MaleM",1990,51
"480","Right","MaleM",1990,39
"483","Left","UNK",NA,8
"484","Right","UNK",NA,3
"488","Left","UNK",NA,1
"49","Left","UNK",NA,5
"490","Left","UNK",NA,1
"494","Right","MaleM",NA,8
"496","Left","MaleM",NA,4
"498","Right","UNK",NA,13
"5","Left","UNK",1989,26
"5","Right","UNK",1989,22
"50","Right","UNK",NA,6
"5001","Left","MaleM",2011,59
"5001","Right","MaleM",2011,49
"5002","Left","UNK",NA,68
"5002","Right","UNK",NA,116
"5003","Left","MaleM",2010,153
"5005","Right","UNK",NA,3
"5006","Left","UNK",NA,5
"5007","Left","UNK",NA,4
"5009","Left","FemaleJ",2011,59
"5009","Right","FemaleJ",2011,60
"501","Left","UNK",NA,4
"5011","Left","UNK",2011,5
"5011","Right","UNK",2011,2
"5015","Right","UNK",NA,14
"5016","Right","UNK",NA,8
"5018","Left","MaleM",2011,153
"5018","Right","MaleM",2011,146
"5019","Left","MaleM",2010,29
"5019","Right","MaleM",2010,29
"5021","Right","UNK",NA,15
"5024","Left","UNK",NA,70
"5025","Right","UNK",NA,126
"5026","Right","UNK",NA,22
"5027","Left","UNK",2011,13
"5027","Right","UNK",2011,45
"5028","Left","UNK",NA,30
"5029","Left","FemaleJ",NA,144
"5031","Left","MaleM",NA,56
"5032","Left","UNK",2010,29
"5033","Right","UNK",NA,63
"5035","Left","MaleM",NA,2
"5035","Right","MaleM",NA,89
"5036","Left","MaleM",NA,119
"5039","Right","MaleM",2010,25
"504","Left","MaleM",1990,3
"5041","Left","UNK",NA,9
"5043","Left","UNK",NA,4
"5044","Left","MaleM",2010,33
"5045","Right","UNK",NA,7
"5047","Right","UNK",NA,2
"5049","Left","MaleM",NA,16
"5052","Left","UNK",2011,24
"5052","Right","UNK",2011,29
"5053","Right","UNK",NA,18
"5059","Right","MaleM",2016,109
"506","Right","UNK",NA,4
"5061","Left","MaleM",2011,156
"5061","Right","MaleM",2011,59
"5063","Right","MaleM",NA,7
"5064","Right","UNK",NA,2
"5065","Left","UNK",NA,13
"5065","Right","UNK",NA,1
"5066","Right","MaleM",NA,5
"5067","Right","UNK",2010,112
"5068","Left","MaleM",2011,75
"5068","Right","MaleM",2011,105
"5069","Left","UNK",NA,48
"5069","Right","UNK",NA,17
"507","Left","UNK",1990,41
"507","Right","UNK",1990,20
"5071","Left","MaleM",2011,139
"5071","Right","MaleM",2011,68
"5075","Left","MaleM",2010,125
"5075","Right","MaleM",2010,102
"5078","Left","UNK",2015,274
"5079","Right","UNK",NA,8
"508","Left","UNK",1990,8
"508","Right","UNK",1990,3
"5080","Right","UNK",2015,181
"5081","Left","UNK",NA,6
"5088","Right","UNK",NA,30
"509","Left","MaleM",1990,6
"509","Right","MaleM",1990,11
"5090","Left","UNK",NA,6
"5091","Left","UNK",NA,30
"5092","Right","UNK",NA,68
"5099","Right","UNK",NA,7
"51","Left","UNK",1989,13
"51","Right","UNK",1989,6
"510","Right","UNK",NA,2
"5103","Left","UNK",NA,3
"5104","Right","MaleM",2015,107
"5106","Left","UNK",NA,25
"5108","Left","UNK",2011,89
"5108","Right","UNK",2011,95
"5109","Left","UNK",NA,144
"5110","Left","UNK",NA,6
"5111","Right","MaleM",NA,194
"5112","Left","FemaleJ",2010,65
"5113","Left","UNK",NA,32
"5114","Right","MaleM",2010,74
"5115","Right","UNK",NA,22
"5116","Left","UNK",NA,20
"5117","Left","UNK",NA,44
"5118","Right","UNK",NA,3
"5119","Right","UNK",NA,13
"5123","Right","UNK",NA,15
"5124","Right","UNK",NA,14
"5125","Left","UNK",NA,9
"5126","Left","UNK",NA,38
"5127","Left","MaleM",NA,8
"5127","Right","MaleM",NA,95
"5128","Right","UNK",NA,44
"5129","Right","UNK",NA,26
"5130","Right","UNK",NA,14
"5131","Left","UNK",NA,6
"5132","Left","UNK",2011,36
"5132","Right","UNK",2011,46
"5133","Left","UNK",NA,14
"5135","Left","UNK",2011,9
"5135","Right","UNK",2011,6
"5136","Right","UNK",NA,8
"5137","Left","MaleM",2010,8
"5139","Right","UNK",NA,7
"5140","Left","UNK",NA,3
"5141","Right","UNK",NA,2
"5142","Right","UNK",NA,5
"5144","Right","UNK",2010,43
"5145","Left","UNK",NA,8
"5146","Left","UNK",NA,9
"5146","Right","UNK",NA,3
"5147","Right","UNK",NA,1
"5148","Right","UNK",NA,13
"5149","Left","UNK",NA,3
"5150","Left","UNK",NA,4
"5151","Right","UNK",NA,4
"5154","Right","UNK",NA,6
"5158","Left","MaleM",2010,99
"5158","Right","MaleM",2010,29
"5159","Right","MaleM",2013,182
"5161","Left","MaleM",NA,17
"5163","Left","UNK",NA,1
"5165","Left","MaleM",2010,158
"5166","Left","UNK",NA,2
"5168","Right","UNK",NA,1
"5169","Left","UNK",2011,3
"5169","Right","UNK",2011,4
"5170","Right","UNK",NA,12
"5172","Left","UNK",NA,14
"5173","Right","UNK",NA,4
"5179","Left","UNK",2011,2
"5179","Right","UNK",2011,5
"518","Left","UNK",1990,17
"518","Right","UNK",1990,18
"5180","Left","UNK",NA,6
"5183","Left","UNK",NA,15
"5184","Left","UNK",NA,25
"5185","Right","UNK",NA,8
"5189","Right","UNK",NA,3
"5191","Left","UNK",NA,10
